;State;month;SPI_Cum1;SPI_Cum3;SPI_Cum6;year
1;Abia;1;1.059999943;2.055999994;-1.166000009;2022
2;Abia;2;-1.833999991;0.229000002;-0.289000005;2022
3;Abia;3;-1.225000024;-0.883000016;0.200000003;2022
4;Abia;4;-1.090999961;-2.365999937;0.030999999;2022
5;Abia;5;-0.324999988;-1.30400002;-1.162999988;2022
6;Abia;6;-1.833999991;-2.720000029;-3.111999989;2022
7;Abia;7;-1.279999971;-3.269000053;-3.913000107;2022
8;Abia;8;-1.065000057;-3.453000069;-3.854000092;2022
9;Abia;9;-1.649999976;-2.727999926;-4.071000099;2022
10;Abia;10;-0.082999997;-1.761999965;-3.33100009;2022
11;Abia;11;-0.27700001;-1.562000036;-3.349999905;2022
12;Abia;12;0.558000028;-0.163000003;-2.183000088;2022
13;Adamawa;1;-0.958999991;0.281999987;-0.2815;2022
14;Adamawa;2;-1.110999942;0.503499982;-1.379999936;2022
15;Adamawa;3;-0.055;0.013;-0.336500004;2022
16;Adamawa;4;0.33950001;0.256499995;0.226999994;2022
17;Adamawa;5;-1.18599999;-0.839000016;-0.856499985;2022
18;Adamawa;6;1.053000033;0.075000003;0.032000005;2022
19;Adamawa;7;0.108499996;0.039999999;0.050499998;2022
20;Adamawa;8;-0.507000007;0.022;-0.285000008;2022
21;Adamawa;9;0.974000022;0.163000003;0.133499994;2022
22;Adamawa;10;-1.126000047;-0.151000004;-0.123499998;2022
23;Adamawa;11;0.456999999;0.292000026;0.173000004;2022
24;Adamawa;12;0.830499977;-2.466000021;-0.129500002;2022
25;Akwa Ibom;1;1.018249989;1.820749998;-0.854500003;2022
26;Akwa Ibom;2;-1.121750012;0.209749993;0.193749994;2022
27;Akwa Ibom;3;-0.838499993;-0.591250014;0.19724999;2022
28;Akwa Ibom;4;-0.337249994;-1.461249977;0.324999998;2022
29;Akwa Ibom;5;0.115000002;-0.555000013;-0.491000002;2022
30;Akwa Ibom;6;-1.67475;-1.536999986;-1.967999995;2022
