Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 7,Unnamed: 8,Unnamed: 10,Unnamed: 11,Unnamed: 13,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 20
User specified income preference shocks - by rural and urban areas and poor and non poor households. ,,,,,,,,,,,,,
Shocks are limited to a 50% increase or decrease and are applied in 1% increments.,,,,,,,,,,,,,
"After inputting preference shocks, the model will take a moment to adjust: some slight delay is normal.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,Income Preference Changes,,,,,,,,,,,,
,Rural,,,,Urban,,,,,,,,
Name,Poor,,Non-poor,,Poor,,Non-poor,,,,,,
Rice,0.5638347,0.0,0.4170823,0.0,0.9670496,0.0,0.8968031,0.0,50.0,50.0,50.0,50.0,
,0.5638347,,0.4170823,,0.9670496,,0.8968031,,,,,,"Household income preference shocks are entered here. 

To enter the shocks, use the toggle button provided to either increase or decrease the selected elasticity by 1% increments. The cells to the right of the button will display the original and updated elasticities, while the cell to the left will display the percentage change. 

In the example below, we have used the buttons to increase income preferences for rice by  5% in rural areas and decrease preferences in urban areas by 5%"
Maize,0.5290104,0.0,0.4554544,0.0,0.6362751,0.0,0.6081499,0.0,50.0,50.0,50.0,50.0,
,0.5290104,,0.4554544,,0.6362751,,0.6081499,,,,,,
Wheat,0.5290104,0.0,0.4554544,0.0,0.6362751,0.0,0.6081499,0.0,50.0,50.0,50.0,50.0,
,0.5290104,,0.4554544,,0.6362751,,0.6081499,,,,,,
Sorghum,0.3584746,0.0,0.3938668,0.0,0.4791937,0.0,0.5002837,0.0,50.0,50.0,50.0,50.0,
,0.3584746,,0.3938668,,0.4791937,,0.5002837,,,,,,
Millet,0.3584746,0.0,0.3938668,0.0,0.4791937,0.0,0.5002837,0.0,50.0,50.0,50.0,50.0,
,0.3584746,,0.3938668,,0.4791937,,0.5002837,,,,,,
Cassava,0.2931843,0.0,0.214673,0.0,0.1907188,0.0,0.1573494,0.0,50.0,50.0,50.0,50.0,
,0.2931843,,0.214673,,0.1907188,,0.1573494,,,,,,
Yam,0.9086111,0.0,0.7937067,0.0,0.8376833,0.0,0.8462574,0.0,50.0,50.0,50.0,50.0,
,0.9086111,,0.7937067,,0.8376833,,0.8462574,,,,,,
"Other starchy staples (e.g. potatoes, plantains)",0.9086111,0.0,0.7937067,0.0,0.8376833,0.0,0.8462574,0.0,50.0,50.0,50.0,50.0,
,0.9086111,,0.7937067,,0.8376833,,0.8462574,,,,,,
"Nuts (e.g. peanuts, tree nuts)",0.6184635,0.0,0.552106,0.0,0.9606878,0.0,0.9552541,0.0,50.0,50.0,50.0,50.0,
