State,LGA,Zone,livelihood_zone,cropland_pct,travel_time_mean_min,travel_time_p90_min
1. Abia,102. ABA SOUTH,4. South East,,,,
1. Abia,103. AROCHUKWU,4. South East,,,,
1. Abia,104. BENDE,4. South East,,,,
1. Abia,106. ISIALA NGWA NORTH,4. South East,,,,
1. Abia,107. ISIALA NGWA SOUTH,4. South East,,,,
1. Abia,108. ISUIKWATO,4. South East,,,,
1. Abia,109. OBINGWA,4. South East,,,,
1. Abia,110. OHAFIA,4. South East,,,,
1. Abia,111. OSISIOMA NORTH,4. South East,,,,
1. Abia,115. UMUAHIA NORTH,4. South East,,,,
1. Abia,116. UMUAHIA SOUTH,4. South East,,,,
1. Abia,117. UMUNNEOCHI,4. South East,,,,
10. Delta,1001. ANIOCHA NORTH,5. South South,,,,
10. Delta,1004. BURUTU,5. South South,,,,
10. Delta,1005. ETHIOPE EAST,5. South South,,,,
10. Delta,1006. ETHIOPE WEST,5. South South,,,,
10. Delta,1008. IKA SOUTH,5. South South,,,,
10. Delta,1009. ISOKO NORTH,5. South South,,,,
10. Delta,1010. ISOKO SOUTH,5. South South,,,,
10. Delta,1012. NDOKWA WEST,5. South South,,,,
10. Delta,1014. OSHIMILI NORTH,5. South South,,,,
10. Delta,1015. OSHIMILI SOUTH,5. South South,,,,
10. Delta,1016. PATANI,5. South South,,,,
10. Delta,1017. SAPELE,5. South South,,,,
10. Delta,1018. UDU,5. South South,,,,
10. Delta,1019. UGHELLI NORTH,5. South South,,,,
10. Delta,1020. UGHELLI SOUTH,5. South South,,,,
10. Delta,1021. UKWANI,5. South South,,,,
10. Delta,1024. WARRI SOUTH,5. South South,,,,
11. Ebonyi,1101. ABAKALIKI,4. South East,,,,
11. Ebonyi,1102. AFIKPO NORTH,4. South East,,,,
11. Ebonyi,1103. AFIKPO SOUTH,4. South East,,,,
11. Ebonyi,1104. EBONYI,4. South East,,,,
11. Ebonyi,1105. EZZA NORTH,4. South East,,,,
11. Ebonyi,1106. EZZA SOUTH,4. South East,,,,
11. Ebonyi,1107. IKWO,4. South East,,,,
11. Ebonyi,1108. ISHIELU,4. South East,,,,
