date,admin_level,admin_name,water_km2,baseline_km2,anomaly_km2,flood_km2,is_flood
2024-08-22,ADM2,Aba North,0.0171,0.0,0.0,0.0,0
2024-08-24,ADM2,Aba North,0.0,0.0,0.0,0.0,0
2024-08-25,ADM2,Aba North,0.0,0.0,0.0,0.0,0
2024-08-27,ADM2,Aba North,0.0198,0.0,0.0,0.0,0
2024-08-29,ADM2,Aba North,0.0,0.0,0.0,0.0,0
2024-08-30,ADM2,Aba North,0.0,0.0,0.0,0.0,0
2024-08-31,ADM2,Aba North,0.0,0.0,0.0,0.0,0
2024-09-01,ADM2,Aba North,0.0,0.0,0.0,0.0,0
2024-09-03,ADM2,Aba North,0.0153,0.0,0.0,0.0,0
2025-01-01,ADM2,Aba North,0.009,0.0,0.009,0.009,0
2025-01-03,ADM2,Aba North,0.0,0.0,0.0,0.0,0
2025-01-04,ADM2,Aba North,0.0,0.0,0.0,0.0,0
2025-01-05,ADM2,Aba North,0.0,0.0,0.0,0.0,0
2025-01-06,ADM2,Aba North,0.0072,0.0,0.0072,0.0072,0
2025-01-08,ADM2,Aba North,0.0,0.0,0.0,0.0,0
2025-01-09,ADM2,Aba North,0.0,0.0,0.0,0.0,0
2025-01-10,ADM2,Aba North,0.0,0.0,0.0,0.0,0
2025-01-11,ADM2,Aba North,0.0,0.0,0.0,0.0,0
2025-01-13,ADM2,Aba North,0.0081,0.0,0.0081,0.0081,0
2025-01-15,ADM2,Aba North,0.0,0.0,0.0,0.0,0
2024-08-22,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2024-08-24,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2024-08-25,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2024-08-27,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2024-08-29,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2024-08-30,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2024-08-31,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2024-09-01,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2024-09-03,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2025-01-01,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2025-01-03,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2025-01-04,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2025-01-05,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2025-01-06,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2025-01-08,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2025-01-09,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2025-01-10,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2025-01-11,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2025-01-13,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2025-01-15,ADM2,Aba South,0.0,0.0,0.0,0.0,0
2024-08-22,ADM2,Abadam,0.0,0.0,0.0,0.0,0
