dataset_folder,year,filepath,tile,datetime_utc,band,size_bytes
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDE_20240825T180152Z_20251107T161647Z_S1A_30_v1.0_B01_WTR.tif,31NDE,20240825T180152Z,B01,91107
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDE_20240825T180152Z_20251107T161647Z_S1A_30_v1.0_B02_BWTR.tif,31NDE,20240825T180152Z,B02,91115
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDE_20240825T180152Z_20251107T161647Z_S1A_30_v1.0_B03_CONF.tif,31NDE,20240825T180152Z,B03,91105
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDE_20240825T180152Z_20251107T161647Z_S1A_30_v1.0_B04_DIAG.tif,31NDE,20240825T180152Z,B04,83101
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDE_20240901T053045Z_20251107T080015Z_S1A_30_v1.0_B01_WTR.tif,31NDE,20240901T053045Z,B01,90189
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDE_20240901T053045Z_20251107T080015Z_S1A_30_v1.0_B02_BWTR.tif,31NDE,20240901T053045Z,B02,90197
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDE_20240901T053045Z_20251107T080015Z_S1A_30_v1.0_B03_CONF.tif,31NDE,20240901T053045Z,B03,105175
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDE_20240901T053045Z_20251107T080015Z_S1A_30_v1.0_B04_DIAG.tif,31NDE,20240901T053045Z,B04,118824
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDF_20240825T180152Z_20251107T161647Z_S1A_30_v1.0_B01_WTR.tif,31NDF,20240825T180152Z,B01,90595
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDF_20240825T180152Z_20251107T161647Z_S1A_30_v1.0_B02_BWTR.tif,31NDF,20240825T180152Z,B02,90603
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDF_20240825T180152Z_20251107T161647Z_S1A_30_v1.0_B03_CONF.tif,31NDF,20240825T180152Z,B03,90593
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDF_20240825T180152Z_20251107T161647Z_S1A_30_v1.0_B04_DIAG.tif,31NDF,20240825T180152Z,B04,82928
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDF_20240901T053045Z_20251107T080015Z_S1A_30_v1.0_B01_WTR.tif,31NDF,20240901T053045Z,B01,90715
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDF_20240901T053045Z_20251107T080015Z_S1A_30_v1.0_B02_BWTR.tif,31NDF,20240901T053045Z,B02,90723
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDF_20240901T053045Z_20251107T080015Z_S1A_30_v1.0_B03_CONF.tif,31NDF,20240901T053045Z,B03,99103
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDF_20240901T053045Z_20251107T080015Z_S1A_30_v1.0_B04_DIAG.tif,31NDF,20240901T053045Z,B04,113381
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDG_20240825T180211Z_20251107T085246Z_S1A_30_v1.0_B01_WTR.tif,31NDG,20240825T180211Z,B01,91302
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDG_20240825T180211Z_20251107T085246Z_S1A_30_v1.0_B02_BWTR.tif,31NDG,20240825T180211Z,B02,91310
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDG_20240825T180211Z_20251107T085246Z_S1A_30_v1.0_B03_CONF.tif,31NDG,20240825T180211Z,B03,95057
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDG_20240825T180211Z_20251107T085246Z_S1A_30_v1.0_B04_DIAG.tif,31NDG,20240825T180211Z,B04,386317
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDG_20240830T181036Z_20251107T170007Z_S1A_30_v1.0_B01_WTR.tif,31NDG,20240830T181036Z,B01,91435
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDG_20240830T181036Z_20251107T170007Z_S1A_30_v1.0_B02_BWTR.tif,31NDG,20240830T181036Z,B02,91389
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDG_20240830T181036Z_20251107T170007Z_S1A_30_v1.0_B03_CONF.tif,31NDG,20240830T181036Z,B03,92918
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDG_20240830T181036Z_20251107T170007Z_S1A_30_v1.0_B04_DIAG.tif,31NDG,20240830T181036Z,B04,281933
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDG_20240901T053039Z_20251107T055723Z_S1A_30_v1.0_B01_WTR.tif,31NDG,20240901T053039Z,B01,91379
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDG_20240901T053039Z_20251107T055723Z_S1A_30_v1.0_B02_BWTR.tif,31NDG,20240901T053039Z,B02,91387
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDG_20240901T053039Z_20251107T055723Z_S1A_30_v1.0_B03_CONF.tif,31NDG,20240901T053039Z,B03,91568
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDG_20240901T053039Z_20251107T055723Z_S1A_30_v1.0_B04_DIAG.tif,31NDG,20240901T053039Z,B04,169451
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDH_20240825T180211Z_20251107T085246Z_S1A_30_v1.0_B01_WTR.tif,31NDH,20240825T180211Z,B01,274735
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDH_20240825T180211Z_20251107T085246Z_S1A_30_v1.0_B02_BWTR.tif,31NDH,20240825T180211Z,B02,262807
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDH_20240825T180211Z_20251107T085246Z_S1A_30_v1.0_B03_CONF.tif,31NDH,20240825T180211Z,B03,1628634
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDH_20240825T180211Z_20251107T085246Z_S1A_30_v1.0_B04_DIAG.tif,31NDH,20240825T180211Z,B04,5953359
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDH_20240830T181036Z_20251107T170007Z_S1A_30_v1.0_B01_WTR.tif,31NDH,20240830T181036Z,B01,125612
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDH_20240830T181036Z_20251107T170007Z_S1A_30_v1.0_B02_BWTR.tif,31NDH,20240830T181036Z,B02,121856
data_floods_ng,2024.0,data_floods_ng/2024/OPERA_L3_DSWx-S1_T31NDH_20240830T181036Z_20251107T170007Z_S1A_30_v1.0_B03_CONF.tif,31NDH,20240830T181036Z,B03,477671
