date,admin_level,admin_name,water_km2
2024-08-22,ADM2,Aba North,0.0171
2024-08-22,ADM2,Aba South,0.0
2024-08-22,ADM2,Abadam,0.0
2024-08-22,ADM2,Abaji,0.0
2024-08-22,ADM2,Abak,0.1188
2024-08-22,ADM2,Abakaliki,0.5283
2024-08-22,ADM2,Abeokuta North,0.0
2024-08-22,ADM2,Abeokuta South,0.0
2024-08-22,ADM2,Abi,13.2462
2024-08-22,ADM2,Aboh-Mbaise,0.1503
2024-08-22,ADM2,Abua/Odual,0.0
2024-08-22,ADM2,Adavi,0.0
2024-08-22,ADM2,Ado,0.0
2024-08-22,ADM2,Ado Odo/Ota,0.0
2024-08-22,ADM2,Ado-Ekiti,0.0
2024-08-22,ADM2,Afijio,0.0
2024-08-22,ADM2,Afikpo North,8.2305
2024-08-22,ADM2,Afikpo South,0.5715
2024-08-22,ADM2,Agaie,0.0
2024-08-22,ADM2,Agatu,1.0962
2024-08-22,ADM2,Agege,0.0
2024-08-22,ADM2,Aguata,0.0063
2024-08-22,ADM2,Agwara,0.0
2024-08-22,ADM2,Ahiazu-Mbaise,0.0
2024-08-22,ADM2,Ahoada East,0.0
2024-08-22,ADM2,Ahoada West,0.0
2024-08-22,ADM2,Ajaokuta,0.0
2024-08-22,ADM2,Ajeromi/Ifelodun,0.0
2024-08-22,ADM2,Ajingi,6.0291
2024-08-22,ADM2,Akamkpa,35.4645
2024-08-22,ADM2,Akinyele,0.0
2024-08-22,ADM2,Akko,0.0
2024-08-22,ADM2,Akoko North East,0.0
2024-08-22,ADM2,Akoko North West,0.0
2024-08-22,ADM2,Akoko South East,0.0
2024-08-22,ADM2,Akoko South West,0.0
2024-08-22,ADM2,Akoko-Edo,0.0
2024-08-22,ADM2,Akpabuyo,79.2504
2024-08-22,ADM2,Akuku Toru,280.1907
2024-08-22,ADM2,Akure North,0.0
2024-08-22,ADM2,Akure South,0.0
2024-08-22,ADM2,Akwanga,1.7046000000000001
2024-08-22,ADM2,Albasu,5.4818999999999996
2024-08-22,ADM2,Aleiro,0.0
2024-08-22,ADM2,Alimosho,0.0
2024-08-22,ADM2,Alkaleri,2.5029000000000003
2024-08-22,ADM2,Amuwo Odofin,0.0
2024-08-22,ADM2,Anambra East,0.0
2024-08-22,ADM2,Anambra West,0.0
2024-08-22,ADM2,Anaocha,0.0
2024-08-22,ADM2,Andoni,177.7536
2024-08-22,ADM2,Aninri,3.1257
2024-08-22,ADM2,Aniocha North,0.0
2024-08-22,ADM2,Aniocha South,0.0
2024-08-22,ADM2,Anka,0.0
2024-08-22,ADM2,Ankpa,0.0
2024-08-22,ADM2,Apa,0.0
2024-08-22,ADM2,Apapa,0.0
2024-08-22,ADM2,Ardo-Kola,0.0
2024-08-22,ADM2,Arewa Dandi,0.0
2024-08-22,ADM2,Argungu,0.0
2024-08-22,ADM2,Arochukwu,2.2428
2024-08-22,ADM2,Asa,0.0
2024-08-22,ADM2,Asari-Toru,95.8122
2024-08-22,ADM2,Askira Uba,0.0
2024-08-22,ADM2,Atakunmosa East,0.0
2024-08-22,ADM2,Atakunmosa West,0.0
2024-08-22,ADM2,Atiba,0.0
2024-08-22,ADM2,Atisbo,0.0
2024-08-22,ADM2,Augie,0.0
2024-08-22,ADM2,Auyo,0.0
2024-08-22,ADM2,Awe,74.5146
2024-08-22,ADM2,Awgu,0.0027
2024-08-22,ADM2,Awka North,0.0
2024-08-22,ADM2,Awka South,0.1026
2024-08-22,ADM2,Ayamelum,0.0
2024-08-22,ADM2,Ayedade,0.0
2024-08-22,ADM2,Ayedire,0.0
2024-08-22,ADM2,Babura,0.2385
2024-08-22,ADM2,Badagry,0.0
2024-08-22,ADM2,Bade,0.0
2024-08-22,ADM2,Bagudu,0.0
2024-08-22,ADM2,Bagwai,26.1144
2024-08-22,ADM2,Bakassi,80.8893
2024-08-22,ADM2,Bakori,0.08639999999999999
2024-08-22,ADM2,Bakura,0.0
2024-08-22,ADM2,Balanga,0.0
2024-08-22,ADM2,Bali,6.7923
2024-08-22,ADM2,Bama,0.0
2024-08-22,ADM2,Barkin Ladi,16.6995
2024-08-22,ADM2,Baruten,0.0
2024-08-22,ADM2,Bassa,0.846
2024-08-22,ADM2,Batagarawa,0.0846
2024-08-22,ADM2,Batsari,0.6246
2024-08-22,ADM2,Bauchi,17.225099999999998
2024-08-22,ADM2,Baure,0.0009
2024-08-22,ADM2,Bayo,0.0
2024-08-22,ADM2,Bebeji,50.1507
2024-08-22,ADM2,Bekwarra,0.0927
2024-08-22,ADM2,Bende,0.1395
2024-08-22,ADM2,Biase,60.6006
2024-08-22,ADM2,Bichi,5.935499999999999
2024-08-22,ADM2,Bida,0.0
2024-08-22,ADM2,Billiri,0.0
2024-08-22,ADM2,Bindawa,0.4932
2024-08-22,ADM2,Binji,0.0
2024-08-22,ADM2,Biriniwa,0.0
2024-08-22,ADM2,Birnin Gwari,0.0
2024-08-22,ADM2,Birnin Kebbi,0.0
2024-08-22,ADM2,Birnin Kudu,6.2055
2024-08-22,ADM2,Birnin Magaji-Kiyaw,0.0
2024-08-22,ADM2,Biu,0.0
2024-08-22,ADM2,Bodinga,0.0
2024-08-22,ADM2,Bogoro,1.4085
2024-08-22,ADM2,Boki,3.0951
2024-08-22,ADM2,Bokkos,0.7326
2024-08-22,ADM2,Boluwaduro,0.0
2024-08-22,ADM2,Bomadi,0.0
2024-08-22,ADM2,Bonny,186.35309999999998
2024-08-22,ADM2,Borgu,0.0
